category|answer|letter
0|avganistan|A
0|afganistan|A
0|azerbejdžan|A
0|azerbejdzan|A
0|azerbajdžan|A
0|azerbajdzan|A
0|albanija|A
0|alžir|A
0|alzir|A
0|alžirskanarodnademokratskarepublika|A
0|alzirskanarodnademokratskarepublika|A
0|andora|A
0|angola|A
0|antigvaibarbuda|A
0|argentina|A
0|australija|A
0|austrija|A
0|ajdaho|A
0|ajova|A
0|alabama|A
0|aljaska|A
0|američkadevičanskaostrva|A
0|americkadevicanskaostrva|A
0|američkasamoa|A
0|americkasamoa|A
0|arizona|A
0|arkanzas|A
0|argentinskarepublika|A
0|azerbejdžanskarepublika|A
0|azerbejdzanskarepublika|A
0|arapskarepublikaegipat|A
0|aruba|A
0|aotearoa|A
0|armenija|A
0|bangladeš|B
0|banglades|B
0|barbados|B
0|bahame|B
0|bahrein|B
0|belgija|B
0|belize|B
0|belorusija|B
0|bjelarus|B
0|benin|B
0|bolivija|B
0|bosnaihercegovina|B
0|bih|B
0|bocvana|B
0|brazil|B
0|brunej|B
0|bugarska|B
0|burkinafaso|B
0|burkina|B
0|burundi|B
0|butan|B
0|banuatu|B
0|bahami|B
0|bosna|B
0|britanija|B
0|burma|B
0|bivšajugoslovenskarepublikamakedonija|B
0|bivsajugoslovenskarepublikamakedonija|B
0|bjrm|B
0|bjelorusija|B
0|bjelokosnaobala|B
0|bolivarskarepublikavenecuela|B
0|bolivarijanskarepublikavenezuela|B
0|venecuela|V
0|venezuela|V
0|vijetnam|V
0|vatikan|V
0|velikabritanija|V
0|vajoming|V
0|vašington|V
0|vasington|V
0|vels|V
0|vermont|V
0|viktorija|V
0|virdžinija|V
0|virdzinija|V
0|viskonsin|V
0|vanuatu|V
0|velikovojvodstvoluksemburg|V
0|višenacionalnarepublikabolivija|V
0|visenacionalnarepublikabolivija|V
0|gabon|G
0|gabonskarepublika|G
0|gambija|G
0|gana|G
0|gvajana|G
0|gvatemala|G
0|gvineja|G
0|gvinejabisao|G
0|gvinejabisau|G
0|grenada|G
0|gruzija|G
0|grčka|G
0|grcka|G
0|gibraltar|G
0|grenland|G
0|gvam|G
0|grad-državavatikan|G
0|graddržavavatikan|G
0|grad-drzavavatikan|G
0|graddrzavavatikan|G
0|danska|D
0|dominika|D
0|dominikana|D
0|dominikanskarepublika|D
0|delaver|D
0|demokratskarepublikakongo|D
0|drk|D
0|drkongo|D
0|državaizrael|D
0|drzavaizrael|D
0|demokratskanarodnarepublikakoreja|D
0|dnrkoreja|D
0|dnrk|D
0|demokratskasocijalističkarepublikašrilanka|D
0|demokratskasocijalistickarepublikasrilanka|D
0|državaeritreja|D
0|drzavaeritreja|D
0|državakatar|D
0|drzavakatar|D
0|državakuvajt|D
0|drzavakuvajt|D
0|demokratskarepublikasaotomeiprinsipe|D
0|demokratskarepublikasvetitomaiprinsipe|D
0|demokratskarepublikatimor-leste|D
0|demokratskarepublikatimorleste|D
0|državavatikanskogagrada|D
0|drzavavatikanskogagrada|D
0|đurđija|Đ
0|djurdjija|Đ
0|egipat|E
0|ekvador|E
0|ekvatorijalnagvineja|E
0|ekvatorskagvineja|E
0|eritreja|E
0|estonija|E
0|estonskarepublika|E
0|etiopija|E
0|engleska|E
0|elsalvador|E
0|zambija|Z
0|zelenortskaostrva|Z
0|zelenortskarepublika|Z
0|zimbabve|Z
